Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),Most Recent SPL Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed Link,DailyMed PDF Link,SET ID
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,200166,Evekeo,AMPHETAMINE SULFATE,20190814,Central Nervous System Stimulant,,ARBOR PHARMACEUTICALS,2015/11/01-,24338-022; 24338-026,6DPV8NK46S,Amphetamine Sulfate,Amphetamine,CK833KGX7E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f469fb38-0380-4621-9db3-a4f429126156/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f469fb38-0380-4621-9db3-a4f429126156,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f469fb38-0380-4621-9db3-a4f429126156,f469fb38-0380-4621-9db3-a4f429126156
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,88616,Butalbital Acetaminophen and Caffeine,BUTALBITAL ACETAMINOPHEN AND CAFFEINE,20181219,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,LAKE ERIE MEDICAL DBA QUALITY CARE PRODUCTS LLC,2010/10/11-,49999-151,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f988e6f2-1e5b-416b-8f2a-aa45a3207945/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f988e6f2-1e5b-416b-8f2a-aa45a3207945,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f988e6f2-1e5b-416b-8f2a-aa45a3207945,f988e6f2-1e5b-416b-8f2a-aa45a3207945
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,89175,Butalbital Acetaminophen and Caffeine,BUTALBITAL ACETAMINOPHEN AND CAFFEINE,20150515,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,NORTHWIND PHARMACEUTICALS,2015/05/13-,51655-590,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6bd940ca-bcc6-48e8-a98a-ddcea09a0e04/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6bd940ca-bcc6-48e8-a98a-ddcea09a0e04,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6bd940ca-bcc6-48e8-a98a-ddcea09a0e04,6bd940ca-bcc6-48e8-a98a-ddcea09a0e04
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,88616,Butalbital Acetaminophen and Caffeine,BUTALBITAL ACETAMINOPHEN AND CAFFEINE,20101011,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,LAKE ERIE MEDICAL DBA QUALITY CARE PRODUCTS LLC,2010/10/11-,49999-151,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/418054c3-d8c8-49b0-93a5-a53fd0c5018f/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=418054c3-d8c8-49b0-93a5-a53fd0c5018f,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=418054c3-d8c8-49b0-93a5-a53fd0c5018f,418054c3-d8c8-49b0-93a5-a53fd0c5018f
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,40336,"Butalbital, Acetaminophen and Caffeine",BUTALBITAL AND ACETAMINOPHEN AND CAFFEINE,20100720,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,KELTMAN PHARMACEUTICALS INC,2007/08/29-,68387-520,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/faf741c4-bfc5-4f52-8773-c50f7b15dd08/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=faf741c4-bfc5-4f52-8773-c50f7b15dd08,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=faf741c4-bfc5-4f52-8773-c50f7b15dd08,faf741c4-bfc5-4f52-8773-c50f7b15dd08
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,89007,Zebutal,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",20190701,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,MAYNE PHARMA INC,2013/12/26-,68308-554,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/ac7e8ce7-088f-4d9c-ad52-2af60436d836/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ac7e8ce7-088f-4d9c-ad52-2af60436d836,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ac7e8ce7-088f-4d9c-ad52-2af60436d836,ac7e8ce7-088f-4d9c-ad52-2af60436d836
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,89007,"butalbital, acetaminophen and caffeine","BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",20190701,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,MAYNE PHARMA,2012/04/16-,51862-179,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/fa88f437-830b-48bc-a44c-fd142963a150/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fa88f437-830b-48bc-a44c-fd142963a150,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=fa88f437-830b-48bc-a44c-fd142963a150,fa88f437-830b-48bc-a44c-fd142963a150
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,89007,Esgic,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",20190701,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,MAYNE PHARMA INC,2014/05/01-,68308-219,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c5827155-c339-4f7e-829b-6cf4edc581af/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c5827155-c339-4f7e-829b-6cf4edc581af,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c5827155-c339-4f7e-829b-6cf4edc581af,c5827155-c339-4f7e-829b-6cf4edc581af
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,206615,"Butalbital, Acetaminophen and Caffeine","BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",20190617,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,XSPIRE PHARMA LLC,2017/08/04-,42195-955,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/56d6c70e-b2c0-0276-e054-00144ff88e88/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=56d6c70e-b2c0-0276-e054-00144ff88e88,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=56d6c70e-b2c0-0276-e054-00144ff88e88,56d6c70e-b2c0-0276-e054-00144ff88e88
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,89175,"butalbital, acetaminophen and caffeine","BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",20190208,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,MIKART LLC,1987/01/21-,46672-053,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a26775c2-cafb-4b13-99ac-d4e8248265fb/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a26775c2-cafb-4b13-99ac-d4e8248265fb,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a26775c2-cafb-4b13-99ac-d4e8248265fb,a26775c2-cafb-4b13-99ac-d4e8248265fb
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,89175,"butalbital, acetaminophen and caffeine","BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",20181212,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,GOLDEN STATE MEDICAL SUPPLY INC,2018/01/08-,60429-589,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2ed2e798-0d95-4ae2-a63d-2d66db009a71/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2ed2e798-0d95-4ae2-a63d-2d66db009a71,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2ed2e798-0d95-4ae2-a63d-2d66db009a71,2ed2e798-0d95-4ae2-a63d-2d66db009a71
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,89175,"butalbital, acetaminophen and caffeine","BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",20181201,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,PROFICIENT RX LP,1987/01/21-,63187-520,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1bde13a5-cdd4-4bc2-8aeb-32e4dc157293/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1bde13a5-cdd4-4bc2-8aeb-32e4dc157293,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1bde13a5-cdd4-4bc2-8aeb-32e4dc157293,1bde13a5-cdd4-4bc2-8aeb-32e4dc157293
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,89718,"Butalbital, Acetaminophen and Caffeine","BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",20181127,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,MAJOR PHARMACEUTICALS,1995/06/12-,0904-6538,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/19b523f6-6cfb-44a8-83d1-8bac5f7d6045/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=19b523f6-6cfb-44a8-83d1-8bac5f7d6045,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=19b523f6-6cfb-44a8-83d1-8bac5f7d6045,19b523f6-6cfb-44a8-83d1-8bac5f7d6045
HUMAN PRESCRIPTION DRUG LABEL,SYRUP,ORAL,ANDA,40387,Vanatol S,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",20181127,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,GM PHARMACEUTICALS,2017/07/01-,58809-359,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2e1c1554-61e9-4f46-ac18-e321e01adc0c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2e1c1554-61e9-4f46-ac18-e321e01adc0c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2e1c1554-61e9-4f46-ac18-e321e01adc0c,2e1c1554-61e9-4f46-ac18-e321e01adc0c
HUMAN PRESCRIPTION DRUG LABEL,SYRUP,ORAL,ANDA,40387,Vanatol LQ,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",20181120,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,GM PHARMACEUTICALS,2015/04/28-,58809-820,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/bc990056-c75f-4b0b-87f8-4fb9bdcd533c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=bc990056-c75f-4b0b-87f8-4fb9bdcd533c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=bc990056-c75f-4b0b-87f8-4fb9bdcd533c,bc990056-c75f-4b0b-87f8-4fb9bdcd533c
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,89175,Esgic,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",20181107,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,MAYNE PHARMA INC,2014/05/01-,68308-220,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a41fa5cd-45c2-447b-b35f-aba505a67d98/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a41fa5cd-45c2-447b-b35f-aba505a67d98,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a41fa5cd-45c2-447b-b35f-aba505a67d98,a41fa5cd-45c2-447b-b35f-aba505a67d98
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,89175,"butalbital, acetaminophen and caffeine","BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",20181024,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,MAYNE PHARMA,2015/08/28-,51862-540,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a46ed1cb-830d-42f8-8ade-b41915d2c414/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a46ed1cb-830d-42f8-8ade-b41915d2c414,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a46ed1cb-830d-42f8-8ade-b41915d2c414,a46ed1cb-830d-42f8-8ade-b41915d2c414
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,40511,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE","BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",20181019,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,AMERICAN HEALTH PACKAGING,2009/09/08-,68084-396,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/ed8079a1-670c-48fb-92ff-6e6ad51e6ad3/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ed8079a1-670c-48fb-92ff-6e6ad51e6ad3,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ed8079a1-670c-48fb-92ff-6e6ad51e6ad3,ed8079a1-670c-48fb-92ff-6e6ad51e6ad3
